quality,chordal_type
ChordQuality(_______p_),"('V', 1)"
ChordQuality(__m____p_),"('Y', 1)"
ChordQuality(__mM___p_),"('Y', 11)"
ChordQuality(__m__M_p_),"('Y', 13)"
ChordQuality(M________),"('',)"
ChordQuality(MA_______),"('V', 4)"
ChordQuality(MAm______),"('W', 0)"
ChordQuality(MAM______),"('Z', 4)"
ChordQuality(Mp_______),"('V', 0)"
ChordQuality(Mp_M_____),"('V', 2)"
ChordQuality(Mp__AM___),"('',)"
ChordQuality(MpM______),"('Z', 0)"
ChordQuality(MpMM_____),"('Z', 2)"
ChordQuality(MpM__M___),"('',)"
ChordQuality(MpMMA____),"('Z', 21)"
ChordQuality(MpM_A____),"('Z', 3)"
ChordQuality(Mpm______),"('Y', 0)"
ChordQuality(MpmM_____),"('Y', 2)"
ChordQuality(MpmMA____),"('Y', 21)"
ChordQuality(MpmA_____),"('Y', 24)"
ChordQuality(MpmM_m___),"('Y', 223)"
ChordQuality(MpmM_M___),"('Y', 22)"
ChordQuality(Mpmm_____),"('Y', 23)"
ChordQuality(Mpmm_m___),"('Y', 2211)"
ChordQuality(Mpm_p____),"('',)"
ChordQuality(Mpm__M___),"('Y', 4)"
ChordQuality(Mpm__m___),"('Y', 41)"
ChordQuality(Mp__A____),"('V', 3)"
ChordQuality(Mp______M),"('Z', 1)"
ChordQuality(Mp_M____M),"('Z', 11)"
ChordQuality(Mp_m____M),"('',)"
ChordQuality(md_______),"('v', 3)"
ChordQuality(mdd______),"('x', 0)"
ChordQuality(mdm______),"('y', 0)"
ChordQuality(mdmM_____),"('y', 1)"
ChordQuality(mp_______),"('v', 0)"
ChordQuality(mpM______),"('w', 0)"
ChordQuality(mpm______),"('z', 0)"
ChordQuality(mpmM_____),"('z', 2)"
ChordQuality(mpm_p____),"('z', 3)"
ChordQuality(mpmm_____),"('',)"
ChordQuality(mp_M_____),"('v', 1)"
ChordQuality(mp_m_____),"('',)"
ChordQuality(mp______m),"('z', 1)"
ChordQuality(mp_M____m),"('z', 11)"
ChordQuality(mp__p____),"('v', 2)"
ChordQuality(Mpm_A____),"('Y', 3)"
