quality,symbol
ChordQuality(Mp______M),6
ChordQuality(Mp_M____M),6.9
ChordQuality(Mp_MA___M),6.9(#11)
ChordQuality(Mp__A___M),6(#11)
ChordQuality(MpM______),7M
ChordQuality(MpMM_____),7M.9
ChordQuality(MpMMA____),7M.9(#11)
ChordQuality(MAMM_____),(#5)7M.9
ChordQuality(MpM_A____),7M(#11)
ChordQuality(MpMM_M__),6.7M.9
ChordQuality(MpM__M___),6.7M
ChordQuality(MAM_A____),(#5)7M(#11)
ChordQuality(MAMMA____),(#5)7M.9(#11)
ChordQuality(MAM______),(#5)7M
ChordQuality(MpM_____M),6.7M
ChordQuality(MpMM____M),6.7M.9
ChordQuality(MpMMA___M),6.7M.9(#11)
ChordQuality(MpM_A___M),6.7M(#11)
ChordQuality(Mpm______),7
ChordQuality(__m____p_),4.7
ChordQuality(__mM___p_),4.7.9
ChordQuality(__mMA__p_),4.7.9(#11)
ChordQuality(__mMAM_p_),4.7.9(#11)13
ChordQuality(__mMAm_p_),4.7.9(#11.b13)
ChordQuality(__mmAm_p_),4.7(b9.#11.b13)
ChordQuality(__mAAm_p_),4.7(#9.#11.b13)
ChordQuality(__mmA__p_),4.7(b9.#11)
ChordQuality(__mmAM_p_),4.7(b9.#11)13
ChordQuality(__mAA__p_),4.7(#9.#11)
ChordQuality(__mAAM_p_),4.7(#9.#11)13
ChordQuality(__mM_M_p_),4.7.9.13
ChordQuality(__mM_m_p_),4.7.9(b13)
ChordQuality(__mm_m_p_),4.7(b9.b13)
ChordQuality(__mA_m_p_),4.7(#9.b13)
ChordQuality(__mm_M_p_),4.7(b9)13
ChordQuality(__mA_M_p_),4.7(#9)13
ChordQuality(__mm___p_),4.7(b9)
ChordQuality(__mA___p_),4.7(#9)
ChordQuality(__m_A__p_),4.7(#11)
ChordQuality(__m_AM_p_),4.7(#11)13
ChordQuality(__m_Am_p_),4.7(#11.b13)
ChordQuality(__m__M_p_),4.7.13
ChordQuality(__m__m_p_),4.7(b13)
ChordQuality(MpmM_____),7.9
ChordQuality(MpmMA____),7.9(#11)
ChordQuality(MpmAA____),7(#9.#11)
ChordQuality(MpmMAM___),7.9(#11)13
ChordQuality(MpmmAM___),7(b9.#11)13
ChordQuality(MpmAAM___),7(#9.#11)13
ChordQuality(MpmMAm___),7.9(#11.b13)
ChordQuality(MpmmA____),7(b9.#11)
ChordQuality(MpmAAm___),7(#9.#11.b13)
ChordQuality(MpmM_M___),7.9.13
ChordQuality(Mpmm_M___),7(b9)13
ChordQuality(Mpmm_m___),7(b9.b13)
ChordQuality(MpmA_M___),7(#9)13
ChordQuality(MpmA_m___),7(#9.b13)
ChordQuality(MpmM_m___),7.9(b13)
ChordQuality(MpmA_m___),7(#9.b13)
ChordQuality(Mpmm_____),7(b9)
ChordQuality(MpmA_____),7(#9)
ChordQuality(Mpm_A____),7(#11)
ChordQuality(Mpm_AM___),7(#11)13
ChordQuality(Mpm_Am___),7(#11.b13)
ChordQuality(Mpm__M___),7.13
ChordQuality(Mpm__m___),7(b13)
ChordQuality(Mdm______),(b5)7
ChordQuality(Mdm____p_),4(b5)7
ChordQuality(MdmM___p_),4(b5)7.9
ChordQuality(Mdmm___p_),4(b5)7(b9)
ChordQuality(MdmA___p_),4(b5)7(#9)
ChordQuality(MdmM_____),(b5)7.9
ChordQuality(Mdmm_____),(b5)7(b9)
ChordQuality(MdmA_____),(b5)7(#9)
ChordQuality(MAm______),(#5)7
ChordQuality(MAm____p_),4(#5)7
ChordQuality(MAmM___p_),4(#5)7.9
ChordQuality(MAmm___p_),4(#5)7(b9)
ChordQuality(MAmA___p_),4(#5)7(#9)
ChordQuality(MAmM_____),(#5)7.9
ChordQuality(MAmm_____),(#5)7(b9)
ChordQuality(MAmA_____),(#5)7(#9)
ChordQuality(Mp_______),
ChordQuality(_______p_),4
ChordQuality(___M___p_),4.9
ChordQuality(_A_M___p_),4(#5)9
ChordQuality(_A_____p_),4(#5)
ChordQuality(Mp_M_____),9
ChordQuality(Mp_MA____),9(#11)
ChordQuality(MA_MA____),(#5)9(#11)
ChordQuality(MA_M_____),(#5)9
ChordQuality(Mp__A____),(#11)
ChordQuality(MA__A____),(#5.#11)
ChordQuality(MA_______),(#5)
ChordQuality(mpm______),m7
ChordQuality(mp______M),m6
ChordQuality(mp_M____M),m6.9
ChordQuality(mp_Mp___M),m6.9.11
ChordQuality(mp_M____m),m(b6)9
ChordQuality(mp__p___M),m6.11
ChordQuality(mp__p___m),m(b6)11
ChordQuality(mp______m),m(b6)
ChordQuality(mpmM_____),m7.9
ChordQuality(mpmMp____),m7.9.11
ChordQuality(mpm_p____),m7.11
ChordQuality(mdm______),Ø
ChordQuality(mdmM_____),Ø.9
ChordQuality(mdmMp____),Ø.9.11
ChordQuality(mdmMpm___),Ø.9.11(b13)
ChordQuality(mdmM_m___),Ø.9(b13)
ChordQuality(mdm_p____),Ø.11
ChordQuality(mdm_pm___),Ø.11(b13)
ChordQuality(mdm__m___),Ø(b13)
ChordQuality(mdd______),°7
ChordQuality(mddM_____),°7.9
ChordQuality(mddMp____),°7.9.11
ChordQuality(mddMpm___),°7.9.11(b13)
ChordQuality(mddM_m___),°7.9(b13)
ChordQuality(mdd_p____),°7.11
ChordQuality(mdd_pm___),°7.11(b13)
ChordQuality(mdd__m___),°7(b13)
ChordQuality(mpM______),m7M
ChordQuality(mpMM_____),m7M.9
ChordQuality(mpMMp____),m7M.9.11
ChordQuality(mpM_p____),m7M11
ChordQuality(mp_______),m
ChordQuality(mp_M_____),m.9
ChordQuality(mp_Mp____),m.9.11
ChordQuality(md_M_____),m(b5)9
ChordQuality(mp__p____),m.11
ChordQuality(md__p____),m(b5)11
ChordQuality(md_______),m(b5)
ChordQuality(mdM______),m(b5)7M
ChordQuality(_p_______),5
ChordQuality(______p__),2
ChordQuality(_________),???
