quality,chordal_type
ChordQuality(M________),"('',)"
ChordQuality(MpM__M___),"('',)"
ChordQuality(Mp__AM___),"('',)"
ChordQuality(Mp_m____M),"('',)"
ChordQuality(Mpm_p____),"('',)"
ChordQuality(mp_m_____),"('',)"
ChordQuality(mpmm_____),"('',)"
ChordQuality(MpM______),"('Z', 0)"
ChordQuality(Mp______M),"('Z', 1)"
ChordQuality(Mp_M____M),"('Z', 11)"
ChordQuality(Mp_MA___M),"('Z', 111)"
ChordQuality(Mp__A___M),"('Z', 12)"
ChordQuality(MpMM_____),"('Z', 2)"
ChordQuality(MpMMA____),"('Z', 21)"
ChordQuality(MAMM_____),"('Z', 22)"
ChordQuality(MpM_A____),"('Z', 3)"
ChordQuality(MAM_A____),"('Z', 31)"
ChordQuality(MAMMA____),"('Z', 311)"
ChordQuality(MAM______),"('Z', 4)"
ChordQuality(MpM_____M),"('Z', 5)"
ChordQuality(MpMM____M),"('Z', 51)"
ChordQuality(MpMMA___M),"('Z', 511)"
ChordQuality(MpM_A___M),"('Z', 52)"
ChordQuality(Mpm______),"('Y', 0)"
ChordQuality(__m____p_),"('Y', 1)"
ChordQuality(__mM___p_),"('Y', 11)"
ChordQuality(__mMA__p_),"('Y', 111)"
ChordQuality(__mMAM_p_),"('Y', 1111)"
ChordQuality(__mMAm_p_),"('Y', 11111)"
ChordQuality(__mMAm_p_),"('Y', 11112)"
ChordQuality(__mAAm_p_),"('Y', 11113)"
ChordQuality(__mm___p_),"('Y', 1112)"
ChordQuality(__mmAM_p_),"('Y', 11121)"
ChordQuality(__mAAM_p_),"('Y', 1113)"
ChordQuality(__mAAM_p_),"('Y', 11131)"
ChordQuality(__mM_M_p_),"('Y', 112)"
ChordQuality(__mM_m_p_),"('Y', 1121)"
ChordQuality(__mm_m_p_),"('Y', 11211)"
ChordQuality(__mA_m_p_),"('Y', 11212)"
ChordQuality(__mm_M_p_),"('Y', 1122)"
ChordQuality(__mA_M_p_),"('Y', 1123)"
ChordQuality(__mm___p_),"('Y', 113)"
ChordQuality(__mA___p_),"('Y', 114)"
ChordQuality(__m_A__p_),"('Y', 12)"
ChordQuality(__m_AM_p_),"('Y', 121)"
ChordQuality(__m_Am_p_),"('Y', 1211)"
ChordQuality(__m__M_p_),"('Y', 13)"
ChordQuality(__m__m_p_),"('Y', 131)"
ChordQuality(MpmM_____),"('Y', 2)"
ChordQuality(MpmMA____),"('Y', 21)"
ChordQuality(MpmMAM___),"('Y', 211)"
ChordQuality(MpmmAM___),"('Y', 2111)"
ChordQuality(MpmmAM___),"('Y', 2112)"
ChordQuality(MpmMAm___),"('Y', 2113)"
ChordQuality(MpmmA____),"('Y', 212)"
ChordQuality(MpmAAm___),"('Y', 2131)"
ChordQuality(MpmM_M___),"('Y', 22)"
ChordQuality(Mpmm_M___),"('Y', 221)"
ChordQuality(Mpmm_m___),"('Y', 2211)"
ChordQuality(MpmA_M___),"('Y', 222)"
ChordQuality(MpmA_m___),"('Y', 2221)"
ChordQuality(MpmM_m___),"('Y', 223)"
ChordQuality(Mpmm_____),"('Y', 23)"
ChordQuality(MpmA_____),"('Y', 24)"
ChordQuality(Mpm_A____),"('Y', 3)"
ChordQuality(Mpm_AM___),"('Y', 31)"
ChordQuality(Mpm_Am___),"('Y', 311)"
ChordQuality(Mpm__M___),"('Y', 4)"
ChordQuality(Mpm__m___),"('Y', 41)"
ChordQuality(Mdm______),"('X', 0)"
ChordQuality(Mdm____p_),"('X', 1)"
ChordQuality(MdmM___p_),"('X', 11)"
ChordQuality(Mdmm___p_),"('X', 111)"
ChordQuality(MdmA___p_),"('X', 112)"
ChordQuality(MdmM_____),"('X', 2)"
ChordQuality(Mdmm_____),"('X', 21)"
ChordQuality(MdmA_____),"('X', 22)"
ChordQuality(MAm______),"('W', 0)"
ChordQuality(MAm____p_),"('W', 1)"
ChordQuality(MAmM___p_),"('W', 11)"
ChordQuality(MAmm___p_),"('W', 111)"
ChordQuality(MAmA___p_),"('W', 112)"
ChordQuality(MAmM_____),"('W', 2)"
ChordQuality(MAmm_____),"('W', 21)"
ChordQuality(MAmA_____),"('W', 22)"
ChordQuality(Mp_______),"('V', 0)"
ChordQuality(_______p_),"('V', 1)"
ChordQuality(___M___p_),"('V', 11)"
ChordQuality(_A_M___p_),"('V', 111)"
ChordQuality(_A_____p_),"('V', 12)"
ChordQuality(Mp_M_____),"('V', 2)"
ChordQuality(Mp_MA____),"('V', 21)"
ChordQuality(MA_MA____),"('V', 211)"
ChordQuality(MA_M_____),"('V', 22)"
ChordQuality(Mp__A____),"('V', 3)"
ChordQuality(MA__A____),"('V', 31)"
ChordQuality(MA_______),"('V', 4)"
ChordQuality(mpm______),"('z', 0)"
ChordQuality(mp______M),"('z', 1)"
ChordQuality(mp__M___M),"('z', 11)"
ChordQuality(mp__Mp__M),"('z', 111)"
ChordQuality(mp__M___m),"('z', 112)"
ChordQuality(mp___p__M),"('z', 12)"
ChordQuality(mp___p__m),"('z', 121)"
ChordQuality(mpm_____m),"('z', 13)"
ChordQuality(mpmM_____),"('z', 2)"
ChordQuality(mpmMp____),"('z', 21)"
ChordQuality(mpm_p____),"('z', 3)"
ChordQuality(mdm______),"('y', 0)"
ChordQuality(mdmM_____),"('y', 1)"
ChordQuality(mdmMp____),"('y', 11)"
ChordQuality(mdmMpm___),"('y', 111)"
ChordQuality(mdmM_m___),"('y', 12)"
ChordQuality(mdm_p____),"('y', 2)"
ChordQuality(mdm_pm___),"('y', 21)"
ChordQuality(mdm__m___),"('y', 3)"
ChordQuality(mdd______),"('x', 0)"
ChordQuality(mddM_____),"('x', 1)"
ChordQuality(mddMp____),"('x', 11)"
ChordQuality(mddMpm___),"('x', 111)"
ChordQuality(mddM_m___),"('x', 12)"
ChordQuality(mdd_p____),"('x', 2)"
ChordQuality(mdd_pm___),"('x', 21)"
ChordQuality(mdd__m___),"('x', 3)"
ChordQuality(mpM______),"('w', 0)"
ChordQuality(mpMM_____),"('w', 1)"
ChordQuality(mpMMp____),"('w', 11)"
ChordQuality(mpM_p____),"('w', 2)"
ChordQuality(mp_______),"('v', 0)"
ChordQuality(mp_M_____),"('v', 1)"
ChordQuality(mp__p____),"('v', 11)"
ChordQuality(md_M_____),"('v', 12)"
ChordQuality(mp__p____),"('v', 2)"
ChordQuality(md__p____),"('v', 21)"
ChordQuality(md_______),"('v', 3)"
