key,chord_quality
0,ChordQuality(_________)
1,ChordQuality(MpM_A____)
!,ChordQuality(MAMM_____)
2,ChordQuality(MpM_A____)
@,ChordQuality(__m__M_p_)
3,ChordQuality(MpM__M___)
#,ChordQuality(MpMM_M___)
4,ChordQuality(Mpm__M___)
$,ChordQuality(MpmM_M___)
5,ChordQuality(Mpm_A____)
%,ChordQuality(MpmM_m___)
6,ChordQuality(mp__p____)
¨,ChordQuality(MpmMAM___)
7,ChordQuality(mpm_p____)
&,ChordQuality(mpmMp____)
8,ChordQuality(mdd__m___)
*,ChordQuality(mddM_____)
q,ChordQuality(MAm______)
Q,ChordQuality(__mm___p_)
w,ChordQuality(Mp_M____M)
W,ChordQuality(__mM___p_)
e,ChordQuality(MpMM_____)
E,ChordQuality(MpMMA____)
r,ChordQuality(MpmM_____)
R,ChordQuality(MpmMA____)
t,ChordQuality(Mp_M_____)
T,ChordQuality(Mdm______)
y,ChordQuality(mp_M_____)
Y,ChordQuality(Mdmm_____)
u,ChordQuality(mpmM_____)
U,ChordQuality(mpMM_____)
i,ChordQuality(mdd______)
I,ChordQuality(mdM______)
o,ChordQuality(mp_M____M)
a,ChordQuality(MA_______)
A,ChordQuality(__mM_M_p_)
s,ChordQuality(Mp______M)
S,ChordQuality(__m____p_)
d,ChordQuality(MpM______)
D,ChordQuality(MpM__M___)
f,ChordQuality(Mpm______)
F,ChordQuality(Mpm_A____)
g,ChordQuality(Mp_______)
G,ChordQuality(MpmA_____)
h,ChordQuality(mp_______)
H,ChordQuality(MpmAA____)
j,ChordQuality(mpm______)
J,ChordQuality(mpM______)
k,ChordQuality(md_______)
K,ChordQuality(mdm_p____)
l,ChordQuality(mp______M)
L,ChordQuality(_p_______)
Z,ChordQuality(______p__)
X,ChordQuality(_______p_)
c,ChordQuality(MpM_A____)
C,ChordQuality(MpmmA____)
v,ChordQuality(Mpmm_____)
V,ChordQuality(Mpmm_M___)
b,ChordQuality(Mpm__m___)
B,ChordQuality(Mpmm_m___)
n,ChordQuality(mp______m)
N,ChordQuality(MpmA_m___)
",",ChordQuality(mdm______)
<,ChordQuality(mdmM_____)
.,ChordQuality(mdm______)
