,,symbol,4,4.7,4.7.9,4.7.13,omit5,(#5),(#5)7,(#5)M7,,0.9,#11.13,M7,M7.9,M7.13,M7.9.#11,M7.#11,7,7.9,7.9.#11,7.#9,7.9.b13,7.9.13,7.b9,7.b9.b13,7.11,7.13,7.b13,7.#11,#11,6,6.9,6.b9,°,°7,Ø,Ø.9,m,mM7,m7,m7.9,m7.11,m7.b9,m.9,m.b9,m6,m6.9,m.11
symbol,step,chroma/quality,_______p_,__m____p_,__mM___p_,__m__M_p_,M________,MA_______,MAm______,MAM______,Mp_______,Mp_M_____,Mp__AM___,MpM______,MpMM_____,MpM__M___,MpMMA____,MpM_A____,Mpm______,MpmM_____,MpmMA____,MpmA_____,MpmM_m___,MpmM_M___,Mpmm_____,Mpmm_m___,Mpm_p____,Mpm__M___,Mpm__m___,Mpm_A____,Mp__A____,Mp______M,Mp_M____M,Mp_m____M,md_______,mdd______,mdm______,mdmM_____,mp_______,mpM______,mpm______,mpmM_____,mpm_p____,mpmm_____,mp_M_____,mp_m_____,mp______m,mp_M____m,mp__p____
bI,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#I,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bII,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#II,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bIII,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#III,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bIV,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#IV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bV,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#V,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bVI,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VI,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bVII,6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VII,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
