key,chord_quality
1,ChordQuality(MAM______)
!,ChordQuality(Mp__AM___)
@,ChordQuality(__m__M_p_)
3,ChordQuality(MpM__M___)
#,ChordQuality(MpMM_M___)
4,ChordQuality(Mpm__M___)
$,ChordQuality(MpmM_M___)
5,ChordQuality(Mpm__m___)
%,ChordQuality(_p____M__)
6,ChordQuality(mp__p____)
7,ChordQuality(mpm_p____)
q,ChordQuality(MAm______)
Q,ChordQuality(MpM_A____)
w,ChordQuality(Mp_M____M)
W,ChordQuality(__mM___p_)
e,ChordQuality(MpMM_____)
E,ChordQuality(MpMMA____)
r,ChordQuality(MpmM_____)
R,ChordQuality(MpmMA____)
t,ChordQuality(Mp_M_____)
T,ChordQuality(M________)
y,ChordQuality(mp_M_____)
u,ChordQuality(mpmM_____)
i,ChordQuality(mdd______)
o,ChordQuality(mp_M____m)
a,ChordQuality(MA_______)
A,ChordQuality(Mpm_A____)
s,ChordQuality(Mp______M)
S,ChordQuality(__m____p_)
d,ChordQuality(MpM______)
f,ChordQuality(Mpm______)
F,ChordQuality(Mpm__m___)
g,ChordQuality(Mp_______)
G,ChordQuality(MpmA_____)
h,ChordQuality(mp_______)
H,ChordQuality(mpM______)
j,ChordQuality(mpm______)
k,ChordQuality(md_______)
l,ChordQuality(mp______m)
Z,ChordQuality(Mp__A____)
x,ChordQuality(Mp_m____M)
X,ChordQuality(_______p_)
c,ChordQuality(MpM_A____)
v,ChordQuality(Mpmm_____)
V,ChordQuality(Mpmm_m___)
b,ChordQuality(_pm______)
B,ChordQuality(MpmM_m___)
n,ChordQuality(mp_m_____)
m,ChordQuality(mpmm_____)
",",ChordQuality(mdm______)
<,ChordQuality(mdmM_____)
